#"MS3 Format 0568.17 : MS3 pre-1.5.2 RC 15   20210119 15:02GMT (c) JSM/KC ********"						
"Capture Date: Fri Jul 30 21:06:50 CDT 2021"						
Time	SPK: Traction retard	VSS1	VSS2	VSS1 ms 1	VSS2 ms 1	TC slip * time
s	deg	MPH	MPH	ms-1	ms-1	
61.378	0.0	0.2	0.0	0.1	0.0	0.0
61.388	0.0	0.2	0.0	0.1	0.0	0.0
61.398	0.0	0.2	0.0	0.1	0.0	0.0
61.408	0.0	0.2	0.0	0.1	0.0	0.0
61.418	0.0	0.2	0.0	0.1	0.0	0.0
61.428	0.0	0.2	0.0	0.1	0.0	0.0
61.438	0.0	0.2	0.0	0.1	0.0	0.0
61.448	0.0	0.0	0.0	0.0	0.0	0.0
61.459	0.0	0.0	0.0	0.0	0.0	0.0
61.469	0.0	0.0	0.0	0.0	0.0	0.0
61.479	0.0	0.0	0.0	0.0	0.0	0.0
61.489	0.0	0.0	0.0	0.0	0.0	0.0
61.499	0.0	0.0	0.0	0.0	0.0	0.0
61.510	0.0	0.0	0.0	0.0	0.0	0.0
61.521	0.0	0.0	0.0	0.0	0.0	0.0
61.531	0.0	0.0	0.0	0.0	0.0	0.0
61.541	0.0	0.0	0.0	0.0	0.0	0.0
61.550	0.0	0.0	0.0	0.0	0.0	0.0
61.561	0.0	0.0	0.0	0.0	0.0	0.0
61.571	0.0	0.0	0.0	0.0	0.0	0.0
61.581	0.0	0.0	0.0	0.0	0.0	0.0
61.591	0.0	0.0	0.0	0.0	0.0	0.0
61.601	0.0	0.0	0.0	0.0	0.0	0.0
61.611	0.0	0.0	0.0	0.0	0.0	0.0
61.621	0.0	0.0	0.0	0.0	0.0	0.0
61.631	0.0	0.0	0.0	0.0	0.0	0.0
61.642	0.0	0.0	0.0	0.0	0.0	0.0
61.652	0.0	0.0	0.0	0.0	0.0	0.0
61.663	0.0	0.0	0.0	0.0	0.0	0.0
61.673	0.0	0.0	0.0	0.0	0.0	0.0
61.683	0.0	0.0	0.0	0.0	0.0	0.0
61.694	0.0	0.0	0.0	0.0	0.0	0.0
61.704	0.0	0.0	0.0	0.0	0.0	0.0
61.713	0.0	0.0	0.0	0.0	0.0	0.0
61.723	0.0	0.0	0.0	0.0	0.0	0.0
61.734	0.0	0.0	0.0	0.0	0.0	0.0
61.744	0.0	0.0	0.0	0.0	0.0	0.0
61.755	0.0	0.0	0.0	0.0	0.0	0.0
61.765	0.0	0.0	0.0	0.0	0.0	0.0
61.775	0.0	0.0	0.0	0.0	0.0	0.0
61.786	0.0	0.0	0.0	0.0	0.0	0.0
61.795	0.0	0.0	0.0	0.0	0.0	0.0
61.805	0.0	0.0	0.0	0.0	0.0	0.0
61.816	0.0	0.0	0.0	0.0	0.0	0.0
61.826	0.0	0.0	0.0	0.0	0.0	0.0
61.836	0.0	0.0	0.0	0.0	0.0	0.0
61.847	0.0	0.0	0.0	0.0	0.0	0.0
61.857	0.0	0.0	0.0	0.0	0.0	0.0
61.867	0.0	0.0	0.0	0.0	0.0	0.0
61.878	0.0	0.0	0.0	0.0	0.0	0.0
61.888	0.0	0.0	0.0	0.0	0.0	0.0
61.898	0.0	0.0	0.0	0.0	0.0	0.0
61.908	0.0	0.0	0.0	0.0	0.0	0.0
61.918	0.0	0.0	0.0	0.0	0.0	0.0
61.928	0.0	0.0	0.0	0.0	0.0	0.0
61.939	0.0	0.0	0.0	0.0	0.0	0.0
61.950	0.0	0.0	0.0	0.0	0.0	0.0
61.960	0.0	0.0	0.0	0.0	0.0	0.0
61.970	0.0	0.0	0.0	0.0	0.0	0.0
61.980	0.0	0.0	0.0	0.0	0.0	0.0
61.991	0.0	0.0	0.0	0.0	0.0	0.0
62.000	0.0	0.0	0.0	0.0	0.0	0.0
62.010	0.0	0.0	0.0	0.0	0.0	0.0
62.021	0.0	0.0	0.0	0.0	0.0	0.0
62.031	0.0	0.0	0.0	0.0	0.0	0.0
62.041	0.0	0.0	0.0	0.0	0.0	0.0
62.051	0.0	0.0	0.0	0.0	0.0	0.0
62.062	0.0	0.0	0.0	0.0	0.0	0.0
62.071	0.0	0.0	0.0	0.0	0.0	0.0
62.082	0.0	0.0	0.0	0.0	0.0	0.0
62.092	0.0	0.0	0.0	0.0	0.0	0.0
62.102	0.0	0.0	0.0	0.0	0.0	0.0
62.112	0.0	0.0	0.0	0.0	0.0	0.0
62.122	0.0	0.0	0.0	0.0	0.0	0.0
62.133	0.0	0.0	0.0	0.0	0.0	0.0
62.143	0.0	0.0	0.0	0.0	0.0	0.0
62.154	0.0	0.0	0.0	0.0	0.0	0.0
62.164	0.0	0.0	0.0	0.0	0.0	0.0
62.174	0.0	0.0	0.0	0.0	0.0	0.0
62.185	0.0	0.0	0.0	0.0	0.0	0.0
62.195	0.0	0.0	0.0	0.0	0.0	0.0
62.205	0.0	0.0	0.0	0.0	0.0	0.0
62.214	0.0	0.0	0.0	0.0	0.0	0.0
62.225	0.0	0.0	0.0	0.0	0.0	0.0
62.235	0.0	0.0	0.0	0.0	0.0	0.0
62.245	0.0	0.0	0.0	0.0	0.0	0.0
62.255	0.0	0.0	0.0	0.0	0.0	0.0
62.265	0.0	0.0	0.0	0.0	0.0	0.0
62.277	0.0	0.0	0.0	0.0	0.0	0.0
62.286	0.0	0.0	0.0	0.0	0.0	0.0
62.297	0.0	0.0	0.0	0.0	0.0	0.0
62.308	0.0	0.0	0.0	0.0	0.0	0.0
62.318	0.0	0.0	0.0	0.0	0.0	0.0
62.328	0.0	0.0	0.0	0.0	0.0	0.0
62.339	0.0	0.0	0.0	0.0	0.0	0.0
62.348	0.0	0.0	0.0	0.0	0.0	0.0
62.359	0.0	0.0	0.0	0.0	0.0	0.0
62.369	0.0	0.0	0.0	0.0	0.0	0.0
62.379	0.0	0.0	0.0	0.0	0.0	0.0
62.390	0.0	0.0	0.0	0.0	0.0	0.0
62.400	0.0	0.0	0.0	0.0	0.0	0.0
62.409	0.0	0.0	0.0	0.0	0.0	0.0
62.420	0.0	0.0	0.0	0.0	0.0	0.0
62.430	0.0	0.0	0.0	0.0	0.0	0.0
62.440	0.0	0.0	0.0	0.0	0.0	0.0
62.450	0.0	0.0	0.0	0.0	0.0	0.0
62.461	0.0	0.0	0.0	0.0	0.0	0.0
62.470	0.0	0.0	0.0	0.0	0.0	0.0
62.481	0.0	0.0	0.0	0.0	0.0	0.0
62.491	0.0	0.0	0.0	0.0	0.0	0.0
62.501	0.0	0.0	0.0	0.0	0.0	0.0
